epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.262,1.4154,4.04241,1.79189,0.00471,1,0.17663,0.0687,1.3904,4.72819,1.6972,5e-05,5e-05,5e-05
2,182.796,1.11289,3.76625,1.43771,0.00505,1,0.40897,0.35002,0.7175,4.08122,0.97877,0.000107822,0.000107822,0.000107822
3,263.433,0.97445,3.41846,1.30716,0.00614,1,0.4486,0.38477,0.68459,4.02791,0.96904,0.000163268,0.000163268,0.000163268
4,334.025,1.0074,3.18536,1.34949,0.00781,1,0.54124,0.4182,0.87765,3.9743,1.07352,0.000216338,0.000216338,0.000216338
5,403.808,0.87848,2.93009,1.30153,0.01871,1,0.43501,0.33218,0.92491,4.09901,1.17165,0.000267032,0.000267032,0.000267032
6,473.445,0.89995,2.6953,1.26726,0.02043,1,0.53408,0.402,0.9398,4.036,1.1805,0.00031535,0.00031535,0.00031535
7,545.957,0.86723,2.44577,1.22186,0.01215,1,0.47268,0.37118,0.87251,3.78527,1.1097,0.000361292,0.000361292,0.000361292
8,624.806,1.02955,2.42819,1.34602,0.89183,0.25,0.44542,0.35426,0.85037,3.58011,1.12262,0.000404858,0.000404858,0.000404858
9,694.421,0.95118,2.60023,1.28838,0.86326,0.25,0.58259,0.47348,0.83706,3.25336,1.1387,0.000446048,0.000446048,0.000446048
10,764.353,0.78526,2.08756,1.13616,0.88747,0.25,0.77521,0.61721,0.82826,3.17912,1.09792,0.000484862,0.000484862,0.000484862
11,843.453,0.779,2.02464,1.188,0.8742,0.48005,0.66333,0.52861,0.88509,3.20792,1.13137,0.0005213,0.0005213,0.0005213
12,921.452,0.80785,1.85401,1.1744,0.67487,0.375,0.70438,0.55736,0.85257,3.0664,1.12146,0.000555362,0.000555362,0.000555362
13,999.251,0.80174,1.80982,1.17031,0.69632,0.44154,0.80792,0.62872,0.90518,2.99042,1.20903,0.000587048,0.000587048,0.000587048
14,1075.21,0.76608,1.79271,1.16438,1,0.24812,0.77521,0.57367,0.97834,3.1099,1.20925,0.000616358,0.000616358,0.000616358
15,1152.26,0.83349,1.86685,1.16979,0.60393,0.5,0.78729,0.61737,0.97203,3.01343,1.21425,0.000643292,0.000643292,0.000643292
16,1228.34,0.8254,1.79489,1.1998,0.32934,0.63505,0.75396,0.63851,0.90542,2.96289,1.22345,0.00066785,0.00066785,0.00066785
17,1305.74,0.82967,1.76304,1.14989,0.50648,0.71354,0.72542,0.60411,0.92031,2.93927,1.23156,0.0006832,0.0006832,0.0006832
18,1382.23,0.86592,1.65771,1.20675,0.35849,0.625,0.73313,0.58555,0.97852,3.03786,1.24469,0.0006634,0.0006634,0.0006634
19,1458.55,0.75326,1.65382,1.14833,0.43864,0.80248,0.78729,0.62146,0.94859,2.91884,1.19519,0.0006436,0.0006436,0.0006436
20,1535.07,0.75708,1.58778,1.1047,0.55533,0.94975,0.87,0.66274,0.94359,2.64993,1.20125,0.0006238,0.0006238,0.0006238
21,1611.54,0.79316,1.65004,1.17937,0.60007,0.875,0.82917,0.58854,1.03528,2.58961,1.24634,0.000604,0.000604,0.000604
22,1688.97,0.80442,1.62384,1.19272,0.71557,0.84076,0.82917,0.59684,0.96322,2.58425,1.21841,0.0005842,0.0005842,0.0005842
23,1765.45,0.7588,1.4814,1.11718,0.61789,0.86677,0.87062,0.68399,0.91236,2.54362,1.20983,0.0005644,0.0005644,0.0005644
24,1843.57,0.71915,1.51042,1.09433,0.53297,0.56234,0.80812,0.68576,0.80026,2.68574,1.1282,0.0005446,0.0005446,0.0005446
25,1919.34,0.7017,1.43638,1.09498,0.46014,0.77568,0.76687,0.6217,0.82341,2.59075,1.11889,0.0005248,0.0005248,0.0005248
26,1994.69,0.72967,1.43174,1.09471,0.70288,0.75,0.82896,0.68274,0.86314,2.06545,1.16368,0.000505,0.000505,0.000505
27,2070.63,0.76916,1.47796,1.11598,0.69305,0.94303,0.82896,0.68274,0.8586,2.06934,1.14091,0.0004852,0.0004852,0.0004852
